Topics,Alpha,Beta,Coherence
14,0.01,0.01,0.6426701435669276
14,0.01,0.31,0.630719923120984
14,0.01,0.61,0.6282001576410311
14,0.01,0.9099999999999999,0.6190769176600989
14,0.01,symmetric,0.6407301485684795
14,0.31,0.01,0.6504915917600389
14,0.31,0.31,0.6537881864240304
14,0.31,0.61,0.6485809208734326
14,0.31,0.9099999999999999,0.6439506704652632
14,0.31,symmetric,0.6524483046508838
14,0.61,0.01,0.6327545582810045
14,0.61,0.31,0.6232732833678439
14,0.61,0.61,0.5994646093308448
14,0.61,0.9099999999999999,0.6020929471108936
14,0.61,symmetric,0.6256123814582868
14,0.9099999999999999,0.01,0.6330973878400838
14,0.9099999999999999,0.31,0.6124037400239999
14,0.9099999999999999,0.61,0.5807287603181074
14,0.9099999999999999,0.9099999999999999,0.549119223126894
14,0.9099999999999999,symmetric,0.6345842610960347
14,symmetric,0.01,0.6555708602421758
14,symmetric,0.31,0.6493513222102969
14,symmetric,0.61,0.635879792105424
14,symmetric,0.9099999999999999,0.6371465504897859
14,symmetric,symmetric,0.6521368891669954
14,asymmetric,0.01,0.5996320450001438
14,asymmetric,0.31,0.6114714023655569
14,asymmetric,0.61,0.6221040615197586
14,asymmetric,0.9099999999999999,0.6175170971572526
14,asymmetric,symmetric,0.6076529673630356
